country,date_x,total_cases,total_deaths,total_tests,people_fully_vaccinated,population_x,gdp_per_capita,life_expectancy,population_density,date_y,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density_y,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,gdp_current_usd,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,health_expenditure_percent_gdp,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population_y,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,total_recoveries,recovery_rate
Botswana,2023-10-18,330298.0,2800.0,2285160.0,1663490.0,2630300.0,15807.374,69.59,4.044,2023-01-01,45.63372328975,26.7083090713391,566730.0,416.0,7.51831104814313,0.661455094814301,0.157882779836655,73.7259063720703,27.21,1677.5970015608,5763.687,12374.76398,4.5672948317541,11.665567478802,-7.35993023387699,,0.560999989509583,19.6160814562101,22.2459808220857,28.4093166855457,0.463997155427933,0.216311052441597,0.414028495550156,87.0,27.2,61.1933333333333,73.5,3.1,2.74395956341177,20355541962.8512,1.07751607894897,0.226615026593208,0.467351377010345,0.157635524868965,0.621043562889099,0.212983131408691,8.05833625793457,4.6217618,,53.3,23.576,9.461,61.141,2630296.0,730591.0,0.446497648954391,0.119531407952309,10.5469623782512,327498.0,99.15228066776064
Brazil,2023-10-18,37721749.0,704659.0,70923215.0,176164186.0,215313504.0,14103.452,75.88,25.04,2023-01-01,28.6390944636007,59.2705274977447,8358140.0,1761.0,6.26011405134323,-0.566063046455383,0.15816031396389,99.4621200561523,50.05,2610.99928167575,414138.8,1064709.126,25.6428132335663,9.28010608956873,28.7364912044128,26.1357916666667,1.14525997638702,80.4135489771561,14.9699486002831,34.7002854535069,-0.587532162666321,0.244467124342918,0.551497936248779,124.0,79.7,80.5245833333333,80.52775094,3.2,1.05342201124086,1920095779022.73,-0.331465899944305,0.21676841378212,-0.257250934839249,0.161117270588875,-0.220437631011009,0.212983131408691,5.77150011062622,4.6151557,,52.0,12.883,8.326,72.75,215313498.0,26795765.0,0.214864358305931,0.124765604734421,22.384065397269,37017090.0,98.13195565242746
Bulgaria,2023-10-18,1302188.0,38414.0,10080207.0,2077915.0,6781955.0,18563.307,75.05,65.18,2023-01-01,46.4867096536478,35.9801031687546,108560.0,608.0,21.3849795937018,-0.157897114753723,0.144503533840179,99.8,21.08,4708.92745757231,34138.1,46492.85461,63.3543017686072,15.3252589264366,-10.7038975766319,7.07775,0.772599995136261,32.8177085388119,20.6261355953162,36.3784322105769,-0.270799845457077,0.225299999117851,0.613898158073425,61.0,20.8,83.8795833333334,79.12686326,3.2,1.50812345474607,90346169914.9349,0.246252059936523,0.226615026593208,-0.107211574912071,0.148250728845596,0.320686906576157,0.212983131408691,4.49264764785767,5.09874439,32.1,39.0,8.5,21.7,71.5146341463415,6465097.0,1528155.0,0.285204857587814,0.102437041699886,1.27797986237754,1263774.0,97.05004192942954
Burkina Faso,2023-10-18,22056.0,396.0,324773.0,5232347.0,22673764.0,1703.102,61.58,70.151,2023-01-01,46.5643274853801,22.5380116959064,273600.0,748.0,10.0358148659081,-0.0836108103394508,0.151262044906616,18.9506874084473,68.0,,5456.7,32262.81629,80.7773501461988,14.2902354303358,6.42191919674695,,0.250059992074966,55.7374234778884,15.9833460244481,18.2311525690361,-0.825155377388,0.210689440369606,0.383691936731339,151.0,35.8,64.8329166666667,21.57982734,2.3,3.09476704494336,18820064797.8379,-1.7825174331665,0.233039766550064,-0.607678949832916,0.148794934153557,-0.468305677175522,0.174772426486015,5.27651214599609,2.92014813,,37.4,35.541,8.958,59.27,22673762.0,15446047.0,-0.633902013301849,0.11933845281601,1.25044051977478,21660.0,98.20457018498368
Burundi,2023-10-18,54366.0,15.0,1611285.0,36321.0,12889583.0,702.225,61.58,423.062,2023-01-01,81.892523364486,10.8894080996885,25680.0,1274.0,12.5262483856929,-1.518141746521,0.189308002591133,10.2338275909424,83.25,,713.466,4102.678292,488.754400311526,18.8008786664945,-5.54308023707614,,0.213119998574257,162.561440491875,13.5974418093983,20.647628458498,-1.26284074783325,0.225951656699181,0.386170625686646,166.0,10.1,50.6641666666667,5.804921577,2.06,2.76041457754835,3338722827.66241,-1.18886947631836,0.248592063784599,-1.27713978290558,0.163136765360832,-0.947485685348511,0.192874446511269,4.87114191055298,2.40413046,64.8,37.5,34.842,7.474,61.663,12889576.0,11031286.0,-1.38799297809601,0.128366053104401,5.82391017787918,54351.0,99.97240922635471
Cambodia,2023-10-18,138941.0,3056.0,2977609.0,14683075.0,16767851.0,3645.07,69.82,90.672,2023-01-01,34.552117040562,44.825968728756,176520.0,1904.0,17.1889496535714,-1.24149858951569,0.158585831522942,82.5017166137695,51.41,272.503442780227,18652.8,42363.17878,93.9781497847269,5.34370264895437,,,0.118230000138283,,16.3649333016786,18.4479943163056,-0.351662397384644,0.259205043315887,0.491589874029159,144.0,33.0,64.3466666666667,60.1524023,2.4,2.09964232456006,29504829319.3169,-0.0361724458634853,0.240944445133209,-0.866584658622742,0.165585458278656,-0.709801018238068,0.201856553554535,1.67057394981384,2.07794261,,,19.334,6.838,69.584,16767842.0,12556766.0,-1.30916702747345,0.132519274950027,1.83890574952752,135885.0,97.80050525043004
Cameroon,2023-10-18,125090.0,1974.0,2731181.0,3173644.0,27914542.0,3364.926,59.29,50.885,2023-01-01,20.6257536333058,42.9110448266379,472710.0,1604.0,9.75896020303777,-1.12793481349945,0.147000029683113,65.4467086791992,78.94,279.915523091573,9928.4,93348.64392,57.5376615684035,6.24767713343879,,,,79.4576584012943,11.3461577378065,12.4278935966695,-0.881544709205627,0.201468542218208,0.397401511669159,167.0,35.4,54.5004166666667,45.60217394,2.1,0.94915422763619,43644068310.851,-1.35294902324677,0.233039766550064,-1.04537618160248,0.145413607358932,-0.898889482021332,0.173512041568756,2.61768436431885,0.61334801,,42.2,34.938,8.582,60.333,27914536.0,11519492.0,-1.14824461936951,0.11933845281601,4.53737524129107,123116.0,98.42193620593173
Canada,2023-10-18,4716205.0,53297.0,62177630.0,31762130.0,38454328.0,44017.591,82.43,4.037,2023-01-01,6.48457678610033,39.4701279256318,8788700.0,537.0,12.860052615015,1.65857982635498,0.169170543551445,100.0,23.85,15588.4871464315,516873.7,677709.2227,4.34950538759999,6.80280115341613,0.12575223729819,2.18333333333333,1.69727003574371,61.4178635753383,12.8260196517315,18.4965355496716,1.56707048416138,0.265415340662003,0.797520101070404,23.0,,92.9225,92.83401664,4.0,1.23665591258666,2161483369422.01,0.772814035415649,0.226615026593208,1.56622016429901,0.167150691151619,1.67709279060364,0.234129175543785,4.13957166671753,8.7053566,,31.7,9.6,7.8,82.5966097560976,38929902.0,7103929.0,1.43496835231781,0.141014099121094,2.06525947364399,4662908.0,98.86991765625116
Central African Republic,2023-10-18,15367.0,113.0,94759.0,2484985.0,5579148.0,661.24,53.28,7.479,2023-01-01,7.88147292047899,35.7523516003724,622980.0,1343.0,17.2670639327014,-1.24606657028198,0.189308002591133,15.6802768707275,90.45,,236.6,21016.37573,8.7597579376545,5.58316735183247,,,,,8.20629229709995,11.6613898280077,-1.7093962430954,0.225951656699181,0.291631907224655,184.0,2.1,42.615,10.58263964,2.5,1.69643629147357,2382618615.01694,-2.16247296333313,0.248592063784599,-1.70115745067596,0.163136765360832,-1.47418415546417,0.192874446511269,2.11509132385254,1.21621466,,43.0,42.68,11.393,53.895,5579144.0,3173417.0,-1.21139430999756,0.129226848483086,20.120400654,15254.0,99.2646580334483
Chad,2023-10-18,7698.0,194.0,218873.0,6127422.0,17723312.0,1768.153,54.24,11.833,2023-01-01,39.9761753494282,3.33650992693774,1259200.0,322.0,21.5454789961835,-1.48808419704437,0.17918761074543,11.2685585021973,73.74,,1568.4,89558.45681,13.643376747141,5.78802687843616,,,0.300500005483627,,,,-1.42290568351746,0.212414711713791,0.299782782793045,182.0,34.1,49.2470833333333,17.8688792,2.42,2.92548684152958,12704149840.2283,-1.48370337486267,0.248592063784599,-1.37252998352051,0.158229008316994,-1.14935708045959,0.191184431314468,2.53867292404175,0.93004119,,37.4,43.357,12.504,52.525,17723315.0,13458554.0,-1.47625410556793,0.128086894750595,,7504.0,97.47986489997402
